"county","strata"
"APPLING",5
"ATKINSON",5
"BACON",5
"BAKER",5
"BALDWIN",4
"BANKS",1
"BARROW",1
"BARTOW",1
"BEN HILL",5
"BERRIEN",5
"BIBB",4
"BLECKLEY",5
"BRANTLEY",5
"BROOKS",5
"BRYAN",5
"BULLOCH",5
"BURKE",4
"BUTTS",4
"CALHOUN",5
"CAMDEN",5
"CANDLER",5
"CARROLL",4
"CATOOSA",1
"CHARLTON",5
"CHATHAM",5
"CHATTAHOOCHEE",4
"CHATTOOGA",1
"CHEROKEE",2
"CLARKE",1
"CLAY",4
"CLAYTON",3
"CLINCH",5
"COBB",2
"COFFEE",5
"COLQUITT",5
"COLUMBIA",4
"COOK",5
"COWETA",4
"CRAWFORD",4
"CRISP",4
"DADE",1
"DAWSON",1
"DECATUR",5
"DEKALB",3
"DODGE",5
"DOOLY",4
"DOUGHERTY",5
"DOUGLAS",2
"EARLY",5
"ECHOLS",5
"EFFINGHAM",5
"ELBERT",1
"EMANUEL",5
"EVANS",5
"FANNIN",1
"FAYETTE",2
"FLOYD",1
"FORSYTH",2
"FRANKLIN",1
"FULTON",3
"GILMER",1
"GLASCOCK",4
"GLYNN",5
"GORDON",1
"GRADY",5
"GREENE",1
"GWINNETT",2
"HABERSHAM",1
"HALL",1
"HANCOCK",4
"HARALSON",1
"HARRIS",4
"HART",1
"HEARD",4
"HENRY",2
"HOUSTON",4
"IRWIN",5
"JACKSON",1
"JASPER",4
"JEFF DAVIS",5
"JEFFERSON",4
"JENKINS",4
"JOHNSON",5
"JONES",4
"LAMAR",4
"LANIER",5
"LAURENS",5
"LEE",5
"LIBERTY",5
"LINCOLN",4
"LONG",5
"LOWNDES",5
"LUMPKIN",1
"MACON",4
"MADISON",1
"MARION",4
"MCDUFFIE",4
"MCINTOSH",5
"MERIWETHER",4
"MILLER",5
"MITCHELL",5
"MONROE",4
"MONTGOMERY",5
"MORGAN",1
"MURRAY",1
"MUSCOGEE",4
"NEWTON",1
"OCONEE",1
"OGLETHORPE",1
"PAULDING",1
"PEACH",4
"PICKENS",1
"PIERCE",5
"PIKE",4
"POLK",1
"PULASKI",5
"PUTNAM",4
"QUITMAN",4
"RABUN",1
"RANDOLPH",4
"RICHMOND",4
"ROCKDALE",2
"SCHLEY",4
"SCREVEN",5
"SEMINOLE",5
"SPALDING",4
"STEPHENS",1
"STEWART",4
"SUMTER",4
"TALBOT",4
"TALIAFERRO",4
"TATTNALL",5
"TAYLOR",4
"TELFAIR",5
"TERRELL",5
"THOMAS",5
"TIFT",5
"TOOMBS",5
"TOWNS",1
"TREUTLEN",5
"TROUP",4
"TURNER",5
"TWIGGS",4
"UNION",1
"UPSON",4
"WALKER",1
"WALTON",1
"WARE",5
"WARREN",4
"WASHINGTON",4
"WAYNE",5
"WEBSTER",4
"WHEELER",5
"WHITE",1
"WHITFIELD",1
"WILCOX",5
"WILKES",4
"WILKINSON",4
"WORTH",5
