county,link,type,report_link
ALACHUA,https://enr.electionsfl.org/ALA/3500/Summary/,ENR,https://enr.electionsfl.org/ALA/3500/Reports
BAKER,https://enr.electionsfl.org/BAK/Summary/3565/,ENR,https://enr.electionsfl.org/BAK/3565/Reports
BAY,https://enr.electionsfl.org/BAY/3507/Summary/,ENR,https://enr.electionsfl.org/BAY/3507/Reports
BRADFORD,https://enr.electionsfl.org/BRA/Summary/3545,ENR,https://enr.electionsfl.org/BRA/3545/Reports
BREVARD,http://enr.electionsfl.org/BRE/3537/Summary/,ENR,http://enr.electionsfl.org/BRE/3537/Reports
BROWARD,http://enr.electionsfl.org/BRO/3578/Summary/,ENR,http://enr.electionsfl.org/BRO/3578/Reports
CHARLOTTE,https://enr.electionsfl.org/CHA/Summary/3567/,ENR,https://enr.electionsfl.org/CHA/3567/Reports
CITRUS,https://enr.electionsfl.org/CIT/3532/Summary/,ENR,https://enr.electionsfl.org/CIT/3532/Reports
COLLIER,https://enr.electionsfl.org/CLL/3484/Summary/,ENR,https://enr.electionsfl.org/CLL/3484/Reports
COLUMBIA,https://enr.electionsfl.org/CLM/3493/Summary/,ENR,https://enr.electionsfl.org/CLM/3493/Reports
DIXIE,https://enr.electionsfl.org/DIX/3488/Summary/,ENR,https://enr.electionsfl.org/DIX/3488/Reports
ESCAMBIA,http://enr.electionsfl.org/ESC/3547/Summary/,ENR,http://enr.electionsfl.org/ESC/3547/Reports
GADSDEN,https://enr.electionsfl.org/GAD/Summary/3566/,ENR,https://enr.electionsfl.org/GAD/3566/Reports
GILCHRIST,https://enr.electionsfl.org/GIL/3573/Summary/,ENR,https://enr.electionsfl.org/GIL/3573/Reports
GLADES,https://enr.electionsfl.org/GLA/Summary/3489/,ENR,https://enr.electionsfl.org/GLA/3489/Reports
HERNANDO,https://enr.electionsfl.org/HER/3562/Summary/,ENR,https://enr.electionsfl.org/HER/3562/Reports
HILLSBOROUGH,https://enr.electionsfl.org/HIL/3508/Summary/,ENR,https://enr.electionsfl.org/HIL/3508/Reports
INDIAN RIVER,https://enr.electionsfl.org/IND/3544/Summary/,ENR,https://enr.electionsfl.org/IND/3544/Reports
LAFAYETTE,https://enr.electionsfl.org/LAF/3552/Summary/,ENR,https://enr.electionsfl.org/LAF/3552/Reports
LAKE,https://enr.electionsfl.org/LAK/3520/Summary,ENR,https://enr.electionsfl.org/LAK/3520/Reports
LEE,https://enr.electionsfl.org/LEE/3556/Summary,ENR,https://enr.electionsfl.org/LEE/3556/Reports
LEVY,https://enr.electionsfl.org/LEV/3530/Summary/,ENR,https://enr.electionsfl.org/LEV/3530/Reports
MADISON,https://enr.electionsfl.org/MAD/Summary/3563/,ENR,https://enr.electionsfl.org/MAD/3563/Reports
MANATEE,https://enr.electionsfl.org/MAN/3569/Summary/,ENR,https://enr.electionsfl.org/MAN/3569/Reports
MARION,https://enr.electionsfl.org/MRN/Summary/3527/,ENR,https://enr.electionsfl.org/MRN/3527/Reports
MARTIN,https://results.enr.clarityelections.com/FL/Martin/120187/,Clarity,120187
MIAMI-DADE,https://enr.electionsfl.org/DAD/3525/Summary/,ENR,https://enr.electionsfl.org/DAD/3525/Reports
MONROE,https://enr.electionsfl.org/MON/Summary/3519/,ENR,https://enr.electionsfl.org/MON/3519/Reports
NASSAU,https://enr.electionsfl.org/NAS/3511/Summary/,ENR,https://enr.electionsfl.org/NAS/3511/Reports
OKEECHOBEE,https://enr.electionsfl.org/OKE/Summary/3504/,ENR,https://enr.electionsfl.org/OKE/3504/Reports
ORANGE,https://enr.electionsfl.org/ORA/3549/Summary/,ENR,https://enr.electionsfl.org/ORA/3549/Reports
PALM BEACH,https://enr.electionsfl.org/PAL/3526/Summary/,ENR,https://enr.electionsfl.org/PAL/3526/Reports
PINELLAS,https://enr.votepinellas.gov/FL/Pinellas/120014/,Clarity,120014
POLK,https://enr.electionsfl.org/POL/3517/Summary/,ENR,https://enr.electionsfl.org/POL/3517/Reports
PUTNAM,https://enr.electionsfl.org/PUT/3524/Summary/,ENR,https://enr.electionsfl.org/PUT/3524/Reports
SARASOTA,https://enr.electionsfl.org/SAR/3555/Summary/,ENR,https://enr.electionsfl.org/SAR/3555/Reports
ST JOHNS,https://enr.electionsfl.org/STJ/3540/Summary/,ENR,https://enr.electionsfl.org/STJ/3540/Reports
VOLUSIA,https://enr.electionsfl.org/VOL/3536/Summary/,ENR,https://enr.electionsfl.org/VOL/3536/Reports
WAKULLA,http://enr.electionsfl.org/WAK/3557/Summary/,ENR,http://enr.electionsfl.org/WAK/3557/Reports
WALTON,http://enr.electionsfl.org/WAL/3529/Summary/,ENR,http://enr.electionsfl.org/WAL/3529/Reports
