State,Office,Office Code,Jurisdiction Code,Election Type,Election Type Code,FullName,LastName,CandidateId
Arizona,House,H,1,Dem Primary,D,Andrei Cherny,Cherny,20078563
Arizona,House,H,1,Dem Primary,D,Marlene Galán-Woods,Galán-Woods,20078564
Arizona,House,H,1,Dem Primary,D,Andrew Horne,Horne,20076947
Arizona,House,H,1,Dem Primary,D,Kurt Kroemer,Kroemer,20078565
Arizona,House,H,1,Dem Primary,D,Conor O'Callaghan,O'Callaghan,20078566
Arizona,House,H,1,Dem Primary,D,Amish Shah,Shah,20078567
Arizona,House,H,1,Rep Primary,R,Robert Backie,Backie,20078568
Arizona,House,H,1,Rep Primary,R,Kim George,George,20078569
Arizona,House,H,1,Rep Primary,R,David Schweikert,Schweikert,5397
Arizona,House,H,2,Dem Primary,D,Jonathan Nez,Nez,20078570
Arizona,House,H,2,Rep Primary,R,Eli Crane,Crane,20075977
Arizona,House,H,2,Rep Primary,R,Jack Smith,Smith,20078571
Arizona,House,H,3,Dem Primary,D,Yassamin Ansari,Ansari,20076949
Arizona,House,H,3,Dem Primary,D,Raquel Terán,Terán,20078572
Arizona,House,H,3,Dem Primary,D,Duane Wooten,Wooten,20078573
Arizona,House,H,3,Rep Primary,R,Jesus Mendoza,Mendoza,20078574
Arizona,House,H,3,Rep Primary,R,Write-ins,Write-ins,20077531
Arizona,House,H,3,Rep Primary,R,Jeff Zink,Zink,20075983
Arizona,House,H,4,Dem Primary,D,Greg Stanton,Stanton,20167
Arizona,House,H,4,Rep Primary,R,Kelly Cooper,Cooper,20075984
Arizona,House,H,4,Rep Primary,R,Jerone Davison,Davison,20075985
Arizona,House,H,4,Rep Primary,R,Dave Giles,Giles,65622
Arizona,House,H,4,Rep Primary,R,Zuhdi Jasser,Jasser,20078575
Arizona,House,H,5,Dem Primary,D,Katrina Schaffner,Schaffner,20078576
Arizona,House,H,5,Rep Primary,R,Andy Biggs,Biggs,52611
Arizona,House,H,6,Dem Primary,D,Kirsten Engel,Engel,20075005
Arizona,House,H,6,Rep Primary,R,Juan Ciscomani,Ciscomani,20075006
Arizona,House,H,6,Rep Primary,R,Kathleen Winn,Winn,20075992
Arizona,House,H,7,Dem Primary,D,Raúl Grijalva,Grijalva,1131
Arizona,House,H,7,Rep Primary,R,Daniel Butierez,Butierez,20078578
Arizona,House,H,8,Dem Primary,D,Greg Whitten,Whitten,20078434
Arizona,House,H,8,Rep Primary,R,Pat Briody,Briody,20078579
Arizona,House,H,8,Rep Primary,R,Trent Franks,Franks,1121
Arizona,House,H,8,Rep Primary,R,Abe Hamadeh,Hamadeh,20075972
Arizona,House,H,8,Rep Primary,R,Anthony Kern,Kern,20078580
Arizona,House,H,8,Rep Primary,R,Blake Masters,Masters,20075955
Arizona,House,H,8,Rep Primary,R,Ben Toma,Toma,20078581
Arizona,House,H,8,Rep Primary,R,Write-ins,Write-ins,20077531
Arizona,House,H,9,Dem Primary,D,Quacy Smith,Smith,20078435
Arizona,House,H,9,Rep Primary,R,Paul Gosar,Gosar,61424
Arizona,Senate,S,0,Dem Primary,D,Ruben Gallego,Gallego,64361
Arizona,Senate,S,0,Rep Primary,R,Kari Lake,Lake,20074237
Arizona,Senate,S,0,Rep Primary,R,Mark Lamb,Lamb,20078582
Arizona,Senate,S,0,Rep Primary,R,Elizabeth Reye,Reye,20078583
Arizona,Senate,S,0,Rep Primary,R,Write-ins,Write-ins,20077531
