"","jurisdiction","total","all_total","pct"
"1","ALAMANCE",900,8218,0.109515697249939
"2","ALEXANDER",197,892,0.22085201793722
"3","ALLEGHANY",143,538,0.265799256505576
"4","ANSON",208,1316,0.158054711246201
"5","ASHE",0,0,NA
"6","AVERY",34,326,0.104294478527607
"7","BEAUFORT",237,1840,0.128804347826087
"8","BERTIE",67,976,0.0686475409836066
"9","BLADEN",130,1623,0.0800985828712261
"10","BRUNSWICK",368,5695,0.0646180860403863
"11","BUNCOMBE",4058,28186,0.143972184772582
"12","BURKE",445,3129,0.142217961009907
"13","CABARRUS",604,5993,0.100784248289671
"14","CALDWELL",284,1739,0.163312248418631
"15","CAMDEN",19,182,0.104395604395604
"16","CARTERET",113,1463,0.0772385509227615
"17","CASWELL",310,1915,0.161879895561358
"18","CATAWBA",516,4413,0.116927260367097
"19","CHATHAM",428,6662,0.064244971480036
"20","CHEROKEE",118,788,0.149746192893401
"21","CHOWAN",59,646,0.0913312693498452
"22","CLAY",40,361,0.110803324099723
"23","CLEVELAND",611,4053,0.150752528990871
"24","COLUMBUS",361,2291,0.157573112178088
"25","CRAVEN",602,5965,0.10092204526404
"26","CUMBERLAND",1556,17789,0.0874697846984091
"27","CURRITUCK",0,0,NA
"28","DARE",198,1695,0.116814159292035
"29","DAVIDSON",438,3440,0.127325581395349
"30","DAVIE",76,821,0.0925700365408039
"31","DUPLIN",142,1171,0.121263877028181
"32","DURHAM",3092,28858,0.107145332316862
"33","EDGECOMBE",318,3629,0.087627445577294
"34","FORSYTH",2494,24760,0.100726978998384
"35","FRANKLIN",177,3006,0.0588822355289421
"36","GASTON",834,7137,0.116855821773855
"37","GATES",84,531,0.15819209039548
"38","GRAHAM",57,233,0.244635193133047
"39","GRANVILLE",0,0,NA
"40","GREENE",167,1189,0.140454163162321
"41","GUILFORD",1497,20809,0.07194002595031
"42","HALIFAX",658,4392,0.149817850637523
"43","HARNETT",741,5156,0.143716058960434
"44","HAYWOOD",437,3193,0.136861885374256
"45","HENDERSON",332,4594,0.0722681758815847
"46","HERTFORD",308,2167,0.142131979695431
"47","HOKE",438,3229,0.135645710746361
"48","HYDE",0,0,NA
"49","IREDELL",757,6020,0.125747508305648
"50","JACKSON",471,2608,0.180598159509202
"51","JOHNSTON",78,549,0.14207650273224
"52","JONES",78,635,0.122834645669291
"53","LEE",230,1773,0.129723632261703
"54","LENOIR",118,1680,0.0702380952380952
"55","LINCOLN",399,2850,0.14
"56","MACON",56,701,0.079885877318117
"57","MADISON",335,1673,0.200239091452481
"58","MARTIN",538,1999,0.269134567283642
"59","MCDOWELL",208,1114,0.186714542190305
"60","MECKLENBURG",4198,49828,0.0842498193786626
"61","MITCHELL",59,423,0.139479905437352
"62","MONTGOMERY",173,983,0.175991861648016
"63","MOORE",519,5766,0.0900104058272633
"64","NASH",911,7787,0.116989854886349
"65","NEW HANOVER",486,7305,0.0665297741273101
"66","NORTHAMPTON",407,2076,0.196050096339114
"67","ONSLOW",181,2162,0.0837187789084181
"68","ORANGE",3020,20170,0.149727317798711
"69","PAMLICO",111,974,0.113963039014374
"70","PASQUOTANK",190,2090,0.0909090909090909
"71","PENDER",0,0,NA
"72","PERQUIMANS",0,0,NA
"73","PERSON",332,2416,0.137417218543046
"74","PITT",1139,10046,0.113378459088194
"75","POLK",137,1361,0.100661278471712
"76","RANDOLPH",450,2877,0.156412930135558
"77","RICHMOND",20,179,0.111731843575419
"78","ROBESON",920,1881,0.489101541733121
"79","ROCKINGHAM",627,3970,0.157934508816121
"80","ROWAN",328,3169,0.103502682234143
"81","RUTHERFORD",313,1805,0.173407202216066
"82","SAMPSON",168,1627,0.103257529194837
"83","SCOTLAND",328,2140,0.153271028037383
"84","STANLY",131,713,0.183730715287518
"85","STOKES",265,1335,0.198501872659176
"86","SURRY",335,1903,0.176037834997373
"87","SWAIN",121,649,0.186440677966102
"88","TRANSYLVANIA",269,2676,0.100523168908819
"89","TYRRELL",25,70,0.357142857142857
"90","UNION",900,7715,0.116655865197667
"91","VANCE",466,3216,0.144900497512438
"92","WAKE",3302,39912,0.0827320104229304
"93","WARREN",294,2388,0.123115577889447
"94","WASHINGTON",0,0,NA
"95","WATAUGA",8,110,0.0727272727272727
"96","WAYNE",728,5961,0.122127159872505
"97","WILKES",249,1551,0.160541586073501
"98","WILSON",346,3759,0.0920457568502261
"99","YADKIN",113,630,0.179365079365079
"100","YANCEY",150,1056,0.142045454545455
